2021-12-22/00:05:39		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-22/00:05:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-22/00:05:40		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-22/00:05:40		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-22/00:05:41		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-22/00:05:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-22/00:05:42		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-22/00:05:43		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-22/00:10:02		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-22/00:10:03		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-22/00:10:03		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-22/00:10:04		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-22/00:10:04		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-22/00:10:05		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-22/00:10:05		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-22/00:10:06		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-22/00:10:07		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-22/10:39:22		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-22/10:39:25		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-22/10:39:27		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-22/10:39:30		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-22/10:39:33		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-22/10:39:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-22/10:39:39		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-22/10:39:42		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-22/10:39:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-22/10:45:14		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-22/10:45:15		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-22/10:45:15		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-22/10:45:16		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-22/10:45:17		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-22/10:45:17		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-22/10:45:19		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-22/10:45:20		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-22/10:45:20		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-22/10:55:39		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-22/10:55:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-22/10:55:45		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-22/10:55:48		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-22/10:55:53		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-22/10:55:56		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-22/10:55:59		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-22/10:56:03		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-22/10:56:07		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-22/11:01:07		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-22/11:01:11		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-22/11:01:14		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-22/11:01:17		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-22/11:01:20		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-22/11:01:23		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-22/11:01:26		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-22/11:01:29		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-22/11:01:31		 wafer_29012020_050617.csv: File Transformed successfully!!
